ID,file_name,transcript,cleaned_transcript,sentiment,call_type,summary,sentiment_start,sentiment_end,has_risk_phrases,risk_phrases,complexity_score,prompt_tokens,completion_tokens,total_tokens
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_01.wav,call_record_01.wav,"Hello, I'm Sarah Miller. I'm calling to inquire about the AC-7892 air conditioner unit. I saw it on your website and I had a few questions. First, what's the BTU rating? And second, does it come with a remote control? Or is that sold separately?","Hello, I am Sarah Miller. I am calling to inquire about the AC-7892 air conditioner unit. I saw it on your website and I had a few questions. First, what is the BTU rating? And second, does it come with a remote control? Or is that sold separately?",neutral,inquiry,Customer inquired about the BTU rating and remote control for the AC-7892 air conditioner.,neutral,neutral,False,[],2.0,428,91,519
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_02.wav,call_record_02.wav,I am extremely dissatisfied with my recent order. I am John Davis and I'm calling about order number 123456. The FR-40401 refrigerator arrived yesterday and it's damaged. There's a huge dent on the side and it's not cooling properly. I want to know what you're going to do about this. I demand the replacement and I want it delivered as soon as possible. I've been without a working refrigerator for two days now.,I am extremely dissatisfied with my recent order. I am John Davis and I am calling about order number 123456. The FR-40401 refrigerator arrived yesterday and it is damaged. There is a huge dent on the side and it is not cooling properly. I want to know what you are going to do about this. I demand the replacement and I want it delivered as soon as possible. I have been without a working refrigerator for two days now.,negative,complaint,Customer John Davis reports receiving a damaged refrigerator that is not cooling and requests a replacement with urgent delivery.,negative,negative,True,"['I demand the replacement', 'I want it delivered as soon as possible']",3.0,457,106,563
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_03.wav,call_record_03.wav,"Hi, this is Maria Rodriguez. I'm having trouble with my LAP2110 laptop, order number 98754. The Wi-Fi keeps disconnecting and I can't get a stable internet connection. I've tried restarting it multiple times and I've checked my router, but everything else is working fine. This is incredibly frustrating. I need this for work. Can you please help me troubleshoot this?","Hi, this is Maria Rodriguez. I am having trouble with my LAP2110 laptop, order number 98754. The Wi-Fi keeps disconnecting and I cannot get a stable internet connection. I have tried restarting it multiple times and I have checked my router, but everything else is working fine. This is incredibly frustrating. I need this for work. Can you please help me troubleshoot this?",negative,support,Customer is experiencing Wi-Fi connectivity issues with her LAP2110 laptop and needs help troubleshooting.,negative,neutral,False,[],3.0,446,88,534
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_04.wav,call_record_04.wav,I just wanted to call and say how pleased I am with the DW6543 dishwasher I purchased last month. My name is Robert Smith and the order number is 246801. It's incredibly quiet and it cleans the dishes perfectly. It's the best dishwasher I've ever owned. The delivery was also very smooth. Thank you for providing such a great product and service.,I just wanted to call and say how pleased I am with the DW6543 dishwasher I purchased last month. My name is Robert Smith and the order number is 246801. It is incredibly quiet and it cleans the dishes perfectly. It is the best dishwasher I have ever owned. The delivery was also very smooth. Thank you for providing such a great product and service.,positive,other,Customer expresses satisfaction with the DW6543 dishwasher and the smooth delivery experience.,positive,positive,False,[],1.0,441,85,526
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_05.wav,call_record_05.wav,"Hello, my name is Jessica Brown. I'd like to place an order. I want to order one OV1357 oven and one MW8642 microwave. Could you please tell me the total cost including shipping and the estimated delivery date? Also, I'd like to pay with Visa. My card number is dot, dot, dot.","Hello, my name is Jessica Brown. I would like to place an order. I want to order one OV1357 oven and one MW8642 microwave. Could you please tell me the total cost including shipping and the estimated delivery date? Also, I would like to pay with Visa. My card number is dot, dot, dot.",neutral,inquiry,"Customer inquires about pricing and delivery details for ordering an oven and a microwave, and specifies payment method.",neutral,neutral,False,[],2.0,434,92,526
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_06.wav,call_record_06.wav,"Hi, this is David Wilson. I'm looking at the SPK9988 speaker system online, and I'm a little confused. The description says it's wireless, but then it also mentions needing a power cord. Can you explain that? Does it need to be plugged in all the time? Or does it have a rechargeable battery? Also, what is the range on the wireless connection?","Hi, this is David Wilson. I am looking at the SPK9988 speaker system online, and I am a little confused. The description says it is wireless, but then it also mentions needing a power cord. Can you explain that? Does it need to be plugged in all the time? Or does it have a rechargeable battery? Also, what is the range on the wireless connection?",neutral,inquiry,Customer asks about the power requirements and wireless range of the SPK9988 speaker system.,neutral,neutral,False,[],2.0,446,89,535
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_07.wav,call_record_07.wav,I'm calling about the HD2771 hard drive I ordered. This is Linda Garcia and the order number is 6-5-4-321. It was supposed to arrive three days ago and I haven't received any updates. The tracking information online is useless. I need this for my business and this delay is causing problems. Can you please look into this and tell me where my order is?,I am calling about the HD2771 hard drive I ordered. This is Linda Garcia and the order number is 6-5-4-321. It was supposed to arrive three days ago and I have not received any updates. The tracking information online is useless. I need this for my business and this delay is causing problems. Can you please look into this and tell me where my order is?,negative,inquiry,Customer Linda Garcia calls to inquire about the delayed delivery of her HD2771 hard drive order and expresses frustration with lack of tracking information.,negative,negative,False,[],3.0,448,98,546
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_08.wav,call_record_08.wav,"Hello, my name is Michael Brown. I need some technical assistance with the Route 5678 router I purchased from you. My order number is 345678. I'm trying to set up a guest network, but the option seems to be missing from the settings menu. I've followed the instructions in the manual, but it's not working. Can you walk me through the setup process?","Hello, my name is Michael Brown. I need some technical assistance with the Route 5678 router I purchased from you. My order number is 345678. I am trying to set up a guest network, but the option seems to be missing from the settings menu. I have followed the instructions in the manual, but it is not working. Can you walk me through the setup process?",neutral,support,Customer requests help setting up a guest network on their router as the option is missing from the settings.,neutral,neutral,False,[],2.0,446,90,536
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_09.wav,call_record_09.wav,"Hi, this is Amanda White. I'd like to place an order for a few items. I need one M-O-N-2-345 monitor, one K-B-1-2-3-4 keyboard, and one mouse, four five six seven mouse. Could you please confirm the availability of these items and give me the total price? I'm excited to get these. I've heard great things about them.","Hi, this is Amanda White. I would like to place an order for a few items. I need one M-O-N-2-345 monitor, one K-B-1-2-3-4 keyboard, and one mouse, four five six seven mouse. Could you please confirm the availability of these items and give me the total price? I am excited to get these. I have heard great things about them.",positive,inquiry,Customer Amanda White wants to place an order and is asking about item availability and total price.,positive,positive,False,[],2.0,451,89,540
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_10.wav,call_record_10.wav,I'm calling to express my satisfaction with the PR-9876 printer I bought from your company. My name is Christopher Green and my order number is 87543. It was easy to set up and the print quality is excellent. I especially appreciate the fast printing speed. It has significantly improved my productivity. Thank you.,I am calling to express my satisfaction with the PR-9876 printer I bought from your company. My name is Christopher Green and my order number is 87543. It was easy to set up and the print quality is excellent. I especially appreciate the fast printing speed. It has significantly improved my productivity. Thank you.,,,,,,False,[],,0,0,0
/Users/mnariel/Documents/PruebaTecnicaDatec/data/raw/audios_llamadas/call_record_11.wav,call_record_11.wav,"Good morning. I am Dr. Emily Carter. I am calling to inquire about the specifications of the MED-7654 Medical Device. I required detailed information regarding its power consumption, dimensions, and sterilization procedures. Could you please provide me with a technical data sheet?","Good morning. I am Dr. Emily Carter. I am calling to inquire about the specifications of the MED-7654 Medical Device. I required detailed information regarding its power consumption, dimensions, and sterilization procedures. Could you please provide me with a technical data sheet?",neutral,inquiry,Dr. Emily Carter calls to request detailed technical specifications for the MED-7654 Medical Device.,neutral,neutral,False,[],2.0,421,90,511
